price(mln),area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Status,neworold,Furnished_status,type_of_building
67.5,1325.0,19.119272232055664,72.86458587646484,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
30.0,1112.0,19.137191060130306,72.86649095571879,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
23.0,950.0,19.2099437,72.83086920000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
20.0,862.0,19.0495063,72.888042,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
51.0,1700.0,19.196454,72.87059351452841,5.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
5.5,580.0,19.2783121,72.8580188,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
37.0,1600.0,19.07907,72.907976,4.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
34.0,1600.0,19.14780616760254,72.84235382080078,3.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
15.0,960.0,19.14017105102539,72.94310760498047,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
17.5,1100.0,19.182353,72.8375309,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
3.0,1270.0,19.234639,73.16113399999999,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Individual House
15.0,1100.0,19.2262,72.8417483333333,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
13.0,795.0,19.2099437,72.83086920000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
19.0,905.0,19.1297376,72.8291555,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Flat
13.0,845.0,19.2099947,72.86675079999999,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Flat
7.5,604.0,19.470854,72.80226,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
60.0,2200.0,19.17745,72.85132,4.0,5.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Flat
9.0,1500.0,19.3785922,72.8275321,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
